COD_RESERVATORIO_VOL;CODIGO_USINA_RESTRICAO;TIPO_REST;MES;VOL_MIN;VOL_MAX;LIM_MIN;LIM_MAX;PERIOD;LEGENDA_FAIXA
& Tres Marias CSEG 2022 - mes 1
156;156;QDEF;1;00.0;30.0;100;150;M;Restricao
156;156;QDEF;1;30.0;33.5;150;150;M;Atencao1
156;156;QDEF;1;33.5;38.7;150;200;M;Atencao2
156;156;QDEF;1;38.7;43.8;150;250;M;Atencao3
156;156;QDEF;1;43.8;48.9;150;300;M;Atencao4
156;156;QDEF;1;48.9;54.1;150;350;M;Atencao5
156;156;QDEF;1;54.1;59.2;150;400;M;Atencao6
156;156;QDEF;1;59.2;60.0;150;450;M;Atencao7
156;156;QDEF;1;60.0;100.0;150;99999;M;Normal
& Tres Marias CSEG 2022 - mes 2
156;156;QDEF;2;00.0;30.0;100;150;M;Restricao
156;156;QDEF;2;30.0;32.0;150;150;M;Atencao1
156;156;QDEF;2;32.0;37.1;150;150;M;Atencao2
156;156;QDEF;2;37.1;42.3;150;200;M;Atencao3
156;156;QDEF;2;42.3;47.4;150;250;M;Atencao4
156;156;QDEF;2;47.4;52.5;150;300;M;Atencao5
156;156;QDEF;2;52.5;57.7;150;350;M;Atencao6
156;156;QDEF;2;57.7;60.0;150;400;M;Atencao7
156;156;QDEF;2;60.0;100.0;150;99999;M;Normal
& Tres Marias CSEG 2022 - mes 3
156;156;QDEF;3;00.0;30.0;100;150;M;Restricao
156;156;QDEF;3;30.0;34.1;150;150;M;Atencao1
156;156;QDEF;3;34.1;39.3;150;150;M;Atencao2
156;156;QDEF;3;39.3;44.5;150;200;M;Atencao3
156;156;QDEF;3;44.5;49.8;150;250;M;Atencao4
156;156;QDEF;3;49.8;55.0;150;300;M;Atencao5
156;156;QDEF;3;55.0;60.0;150;350;M;Atencao6
156;156;QDEF;3;60.0;100.0;150;99999;M;Normal
& Tres Marias CSEG 2022 - mes 4
156;156;QDEF;4;00.0;30.0;100;150;M;Restricao
156;156;QDEF;4;30.0;38.0;150;150;M;Atencao1
156;156;QDEF;4;38.0;43.3;150;150;M;Atencao2
156;156;QDEF;4;43.3;48.5;150;200;M;Atencao3
156;156;QDEF;4;48.5;53.7;150;250;M;Atencao4
156;156;QDEF;4;53.7;58.9;150;300;M;Atencao5
156;156;QDEF;4;58.9;60.0;150;350;M;Atencao6
156;156;QDEF;4;60.0;100.0;150;99999;M;Normal
& Tres Marias CSEG 2022 - mes 5
156;156;QDEF;5;00.0;30.0;100;150;M;Restricao
156;156;QDEF;5;30.0;40.3;150;150;M;Atencao1
156;156;QDEF;5;40.3;45.6;150;150;M;Atencao2
156;156;QDEF;5;45.6;50.8;150;200;M;Atencao3
156;156;QDEF;5;50.8;56.1;150;250;M;Atencao4
156;156;QDEF;5;56.1;60.0;150;300;M;Atencao5
156;156;QDEF;5;60.0;100.0;150;99999;M;Normal
& Tres Marias CSEG 2022 - mes 6
156;156;QDEF;6;00.0;30.0;100;150;M;Restricao
156;156;QDEF;6;30.0;40.0;150;150;M;Atencao1
156;156;QDEF;6;40.0;45.2;150;150;M;Atencao2
156;156;QDEF;6;45.2;50.4;150;200;M;Atencao3
156;156;QDEF;6;50.4;55.6;150;250;M;Atencao4
156;156;QDEF;6;55.6;60.0;150;300;M;Atencao5
156;156;QDEF;6;60.0;100.0;150;99999;M;Normal
& Tres Marias CSEG 2022 - mes 7
156;156;QDEF;7;00.0;30.0;100;150;M;Restricao
156;156;QDEF;7;30.0;32.5;150;150;M;Atencao1
156;156;QDEF;7;32.5;37.7;150;150;M;Atencao2
156;156;QDEF;7;37.7;42.9;150;200;M;Atencao3
156;156;QDEF;7;42.9;48.2;150;250;M;Atencao4
156;156;QDEF;7;48.2;53.4;150;300;M;Atencao5
156;156;QDEF;7;53.4;58.6;150;350;M;Atencao6
156;156;QDEF;7;58.6;60.0;150;400;M;Atencao7
156;156;QDEF;7;60.0;100.0;150;99999;M;Normal
& Tres Marias CSEG 2022 - mes 8
156;156;QDEF;8;00.0;30.0;100;150;M;Restricao
156;156;QDEF;8;30.0;34.0;150;150;M;Atencao1
156;156;QDEF;8;34.0;39.2;150;200;M;Atencao2
156;156;QDEF;8;39.2;44.4;150;250;M;Atencao3
156;156;QDEF;8;44.4;49.7;150;300;M;Atencao4
156;156;QDEF;8;49.7;54.9;150;350;M;Atencao5
156;156;QDEF;8;54.9;60.0;150;400;M;Atencao6
156;156;QDEF;8;60.0;100.0;150;99999;M;Normal
& Tres Marias CSEG 2022 - mes 9
156;156;QDEF;9;00.0;30.0;100;150;M;Restricao
156;156;QDEF;9;30.0;31.3;150;200;M;Atencao1
156;156;QDEF;9;31.3;36.5;150;250;M;Atencao2
156;156;QDEF;9;36.5;41.6;150;300;M;Atencao3
156;156;QDEF;9;41.6;46.8;150;350;M;Atencao4
156;156;QDEF;9;46.8;51.9;150;400;M;Atencao5
156;156;QDEF;9;51.9;57.0;150;450;M;Atencao6
156;156;QDEF;9;57.0;60.0;150;500;M;Atencao7
156;156;QDEF;9;60.0;100.0;150;99999;M;Normal
& Tres Marias CSEG 2022 - mes 10
156;156;QDEF;10;00.0;30.0;100;150;M;Restricao
156;156;QDEF;10;30.0;32.4;150;300;M;Atencao1
156;156;QDEF;10;32.4;37.6;150;350;M;Atencao2
156;156;QDEF;10;37.6;42.8;150;400;M;Atencao3
156;156;QDEF;10;42.8;47.9;150;450;M;Atencao4
156;156;QDEF;10;47.9;60.0;150;500;M;Atencao5
156;156;QDEF;10;60.0;100.0;150;99999;M;Normal
& Tres Marias CSEG 2022 - mes 11
156;156;QDEF;11;00.0;30.0;100;150;M;Restricao
156;156;QDEF;11;30.0;30.7;150;250;M;Atencao1
156;156;QDEF;11;30.7;35.8;150;300;M;Atencao2
156;156;QDEF;11;35.8;41.0;150;350;M;Atencao3
156;156;QDEF;11;41.0;46.1;150;400;M;Atencao4
156;156;QDEF;11;46.1;51.2;150;450;M;Atencao5
156;156;QDEF;11;51.2;60.0;150;500;M;Atencao6
156;156;QDEF;11;60.0;100.0;150;99999;M;Normal
& Tres Marias CSEG 2022 - mes 12
156;156;QDEF;12;00.0;30.0;100;150;M;Restricao
156;156;QDEF;12;30.0;33.9;150;200;M;Atencao1
156;156;QDEF;12;33.9;39.0;150;250;M;Atencao2
156;156;QDEF;12;39.0;44.2;150;300;M;Atencao3
156;156;QDEF;12;44.2;49.4;150;350;M;Atencao4
156;156;QDEF;12;49.4;54.5;150;400;M;Atencao5
156;156;QDEF;12;54.5;59.7;150;450;M;Atencao6
156;156;QDEF;12;59.7;60.0;150;500;M;Atencao7
156;156;QDEF;12;60.0;100.0;150;99999;M;Normal
& Sobradinho CSEG 2022 - mes 1
169;178;QDEF;1;00.0;20.0;700;800;M;Restricao
169;178;QDEF;1;20.0;32.4;800;800;M;Atencao1
169;178;QDEF;1;32.4;35.2;800;800;M;Atencao2
169;178;QDEF;1;35.2;38.1;800;850;M;Atencao3
169;178;QDEF;1;38.1;40.9;800;900;M;Atencao4
169;178;QDEF;1;40.9;43.7;800;950;M;Atencao5
169;178;QDEF;1;43.7;46.5;800;1000;M;Atencao6
169;178;QDEF;1;46.5;49.4;800;1050;M;Atencao7
169;178;QDEF;1;49.4;52.2;800;1100;M;Atencao8
169;178;QDEF;1;52.2;55.0;800;1150;M;Atencao9
169;178;QDEF;1;55.0;57.9;800;1200;M;Atencao10
169;178;QDEF;1;57.9;60.0;800;1250;M;Atencao11
169;178;QDEF;1;60.0;100.0;1100;2600;M;Normal
& Sobradinho CSEG 2022 - mes 2
169;178;QDEF;2;00.0;20.0;700;800;M;Restricao
169;178;QDEF;2;20.0;35.7;800;800;M;Atencao1
169;178;QDEF;2;35.7;38.5;800;800;M;Atencao2
